Title,Year,Rating,Genre,Runtime,Votes,Stars
The Last of Us,(2023– ),8.9,"Action, Adventure, Drama",50 min,346080,"['Pedro Pascal', 'Bella Ramsey', 'Anna Torv', 'Lamar Johnson']"
Shadow and Bone,(2021– ),7.6,"Action, Adventure, Drama",60 min,96411,"['Jessie Mei Li', 'Ben Barnes', 'Archie Renaux', 'Freddy Carter']"
Swarm,(2023– ),7.3,"Comedy, Drama, Thriller",N/A,5041,"['Dominique Fishback', 'Chloe Bailey', 'Nirine S. Brown', 'Karen Rodriguez']"
Ted Lasso,(2020– ),8.8,"Comedy, Drama, Sport",30 min,239726,"['Jason Sudeikis', 'Brett Goldstein', 'Brendan Hunt', 'Nick Mohammed']"
The Night Agent,(2023– ),7.7,"Action, Drama, Thriller",N/A,9394,"['Gabriel Basso', 'Luciane Buchanan', 'Fola Evans-Akingbola', 'Sarah Desjardins']"
Daisy Jones & The Six,(2023),8.1,"Drama, Music, Romance",49 min,12079,"['Riley Keough', 'Sam Claflin', 'Camila Morrone', 'Suki Waterhouse']"
You,(2018–2024),7.7,"Crime, Drama, Romance",45 min,270181,"['Penn Badgley', 'Victoria Pedretti', 'Tati Gabrielle', 'Ambyr Childers']"
The Whale,(2022),7.8,Drama,117 min,111651,"['Darren Aronofsky', 'Brendan Fraser', 'Sadie Sink', 'Ty Simpkins', 'Hong Chau']"
Boston Strangler,(2023),6.5,"Crime, Drama, History",112 min,11114,"['Matt Ruskin', 'Keira Knightley', 'Carrie Coon', 'Chris Cooper', 'Alessandro Nivola']"
Shrinking,(2023– ),8.0,"Comedy, Drama",33 min,24593,"['Jason Segel', 'Jessica Williams', 'Harrison Ford', 'Luke Tennie']"
Yellowjackets,(2021– ),7.9,"Drama, Horror, Mystery",60 min,55087,"['Melanie Lynskey', 'Tawny Cypress', 'Christina Ricci', 'Juliette Lewis']"
Succession,(2018–2023),8.8,Drama,60 min,164407,"['Nicholas Braun', 'Brian Cox', 'Kieran Culkin', 'Peter Friedman']"
Luther: The Fallen Sun,(2023),6.4,"Crime, Drama, Mystery",129 min,34654,"['Jamie Payne', 'Idris Elba', 'Cynthia Erivo', 'Andy Serkis', 'Dermot Crowley']"
Star Trek: Picard,(2020–2023),7.3,"Action, Adventure, Drama",46 min,79297,"['Patrick Stewart', 'Michelle Hurd', 'Jeri Ryan', 'Alison Pill']"
Luther,(2010–2019),8.4,"Crime, Drama, Mystery",60 min,144265,"['Idris Elba', 'Dermot Crowley', 'Michael Smiley', 'Warren Brown']"
Yellowstone,(2018–2023),8.7,"Drama, Western",60 min,169151,"['Kevin Costner', 'Luke Grimes', 'Kelly Reilly', 'Wes Bentley']"
Game of Thrones,(2011–2019),9.2,"Action, Adventure, Drama",57 min,2142707,"['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']"
Lucky Hank,(2023– ),6.8,"Comedy, Drama",42 min,1064,"['Bob Odenkirk', 'Arthur Keng', 'Haig Sutherland', 'Shannon DeVido']"
The Walking Dead,(2010–2022),8.1,"Drama, Horror, Thriller",44 min,1017303,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']"
The White Lotus,(2021–2023),7.9,"Comedy, Drama",60 min,161115,"['Jennifer Coolidge', 'Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']"
65,(2023),5.7,"Action, Adventure, Drama",93 min,12282,"['Scott Beck', 'Bryan Woods', 'Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King']"
The Banshees of Inisherin,(2022),7.7,"Comedy, Drama",114 min,182183,"['Martin McDonagh', 'Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Pat Shortt']"
Shingeki no Kyojin,(2013–2023),9.0,"Animation, Action, Adventure",24 min,400980,"['Josh Grelle', 'Yûki Kaji', 'Yui Ishikawa', 'Marina Inoue']"
1923,(2022–2023),8.4,"Drama, Western",60 min,28685,"['Harrison Ford', 'Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']"
